is_available,brand,type,product_name,original_amount,purchase_amount,sales_amount,expires_at,serial_number,stock_number,purchased_at,updated_at,purchased_channel,issuer,purchase_manager,image_url,product_detail,notice,created_at,id
false,신세계백화점,상품권,10000원권,10000,9590,9850,2024-06-02 14:50:00,900083875336,b11754,2024-04-04 00:00:00,2024-04-04 09:15:06.822+00,도도알아스 (줄리앙),신세계백화점,이준영,https://buzzypay.s3.ap-northeast-2.amazonaws.com/e-coupons/900083875336.png,,,2024-04-04 06:27:36.524+00,0000695f-9313-4128-821d-48b0ac16a1e2
false,메가커피,교환권,스노우 상그리아 에이드,3900,3200,3360,2024-01-31 14:50:00,645894785168,b4785,2023-11-07 00:00:00,2024-01-19 03:04:53.454+00,,,이준영,https://buzzypay.s3.ap-northeast-2.amazonaws.com/e-coupons/645894785168.jpeg,,,2023-11-07 04:41:41.146+00,00045eaa-5d10-4776-b093-b652a9d8744a
false,스타벅스,교환권,카페라떼 T,5000,4230,4470,2024-01-28 14:50:00,999379681949,b6362,2023-12-08 00:00:00,2023-12-09 05:36:41.242+00,,,이준영,https://buzzypay.s3.ap-northeast-2.amazonaws.com/e-coupons/999379681949.jpeg,,,2023-12-08 05:49:04.405+00,00101988-ff06-49b7-93db-4965a20e67e5
false,스타벅스,교환권,카페 아메리카노 T,4500,3370,,2023-04-08 00:00:00,900276584375 ,b345,2023-03-09 00:00:00,2023-03-21 10:24:05.075025+00,기프티쇼,,강인구,https://buzzypay.s3.ap-northeast-2.amazonaws.com/e-coupons/900276584375.png,gishow.kr/FsfSvr8,"미군부내 매장, 워터파크 입점 매장, 인천공항 입점 매장, 마장휴게소점 등 일부 매장에서는 사용이 불가합니다.",2023-03-09 05:39:19.748681+00,001791e7-d8f2-484f-8fc7-665d16884c6f
false,이디야커피,교환권,ICED 아메리카노 L,3200,2880,2720,2024-02-25 00:00:00,922408043078 ,b233,2023-02-24 00:00:00,2023-07-26 02:53:01.419+00,일상카페,,박정훈,https://buzzypay.s3.ap-northeast-2.amazonaws.com/e-coupons/922408043078.png,buzzy.oopy.io/terms/ediya,"카페이디야매장, 공항, 리조트, 휴게소 등 특수매장 및. 일부매장 사용 불가(상지대점, 상지대2호점, 포항체육관점, 광양포스코점, 광양체육관점, 구미삼성점, 화성상섬점, 동탄삼성점, GSBA점, 마산코레일점, 서귀포이마트점, 울산서부동점, 하이원리조트점, 9사단점, 9공수특전여단점, 기흥삼성점, 서울렛츠런파크점, 렛츠런파크제주점, 단양대명리조트점, 평택삼성점, 캠프케이시점, 병점홈플러스점)",2023-03-03 07:37:30.249966+00,0020782e-403c-4229-9a9b-10374c6d66c8
false,메가커피,교환권,ICED 아메리카노,2000,1750,1830,2024-02-29 14:50:00,635378663446,b8442,2024-01-21 00:00:00,2024-01-22 01:59:25.059+00,,,이준영,https://buzzypay.s3.ap-northeast-2.amazonaws.com/e-coupons/635378663446.jpeg,,,2024-01-21 12:39:00.26+00,002572c3-7918-4740-9ec9-f520f88dde1b
false,투썸플레이스,교환권,카페라떼 R,5000,4270,4520,2025-02-09 14:50:00,9359831388381550,b9691,2024-02-16 00:00:00,2024-02-27 03:07:02.389+00,,,이준영,https://buzzypay.s3.ap-northeast-2.amazonaws.com/e-coupons/9359831388381550.jpeg,,,2024-02-16 06:28:40.065+00,002c0a32-dfc2-4747-bfb9-ee3925d03304
false,스타벅스,교환권,아이스 카페 아메리카노,4500,3850,4150,2024-03-31 14:50:00,999844759114,b10200,2024-03-02 00:00:00,2024-03-02 14:06:55.644+00,,,이준영,https://buzzypay.s3.ap-northeast-2.amazonaws.com/e-coupons/999844759114.jpeg,,,2024-03-01 23:40:25.284+00,0038e6f1-b023-4696-b799-65fef949d612
false,투썸플레이스,교환권,아이스 아메리카노,4500,3990,4200,2024-01-01 14:50:00,900920878732,b6039,2023-12-01 00:00:00,2023-12-03 11:03:03.719+00,,,이준영,https://buzzypay.s3.ap-northeast-2.amazonaws.com/e-coupons/900920878732.jpeg,,,2023-12-02 23:31:00.923+00,0039ef7c-c713-4f82-99ff-1604ca598977
false,스타벅스,교환권,아이스 카페 아메리카노,4500,3810,3999,2024-03-08 14:50:00,330008019480436815,b9761,2024-02-19 00:00:00,2024-02-19 15:16:29.27+00,,,이준영,https://buzzypay.s3.ap-northeast-2.amazonaws.com/e-coupons/330008019480436815.png,,,2024-02-19 03:14:36.849+00,0040050d-8590-4238-999b-116e01795588
